Subject,P9-P9,P8-P9,P7-P9,P6-P9,P5-P9,P4-P9,P1-P9,P2-P9,P3-P9,N44-P9,G-P9,P8-P8,P7-P8,P6-P8,P5-P8,P4-P8,P1-P8,P2-P8,P3-P8,N44-P8,G-P8,P7-P7,P6-P7,P5-P7,P4-P7,P1-P7,P2-P7,P3-P7,N44-P7,G-P7,P6-P6,P5-P6,P4-P6,P1-P6,P2-P6,P3-P6,N44-P6,G-P6,P5-P5,P4-P5,P1-P5,P2-P5,P3-P5,N44-P5,G-P5,P4-P4,P1-P4,P2-P4,P3-P4,N44-P4,G-P4,P1-P1,P2-P1,P3-P1,N44-P1,G-P1,P2-P2,P3-P2,N44-P2,G-P2,P3-P3,N44-P3,G-P3,N44-N44,G-N44
1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,
2,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,1,1,,,1,,,,,1,,,,,,,
3,,1,,,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,1,1,,,1,,,,,1,,,,,,,
4,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,1,,,,1,,,,,1,,,,,,,
5,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,1,1,,,1,,,,,1,,,,,,,
6,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,1,,,,1,,,,,1,,,,,,,
7,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,1,1,,,1,,,,,1,,,,,,,
8,1,1,,,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,1,1,,,1,,,,1,1,,,,,,,
9,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,1,1,,,,,,,,1,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,1
11,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,1,,,,1,,,,,1,,,,,,,
12,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,1,1,,,1,,,,,1,,,,,,,
13,,,,,,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,
14,,1,,,,,1,1,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,
15,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,1,,,1,,,,,,,,,1,,,,1,,,,,1,,,,,,,
16,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,1,1,,,1,,,,,1,,,,,,,
17,,1,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,1,,,,1,,,,,1,,,,,,,
18,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,1,,,,1,,,,,1,,,,,,,
19,,1,,,,,1,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,1,,,,1,,,
20,1,1,,,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,1,1,,1,1,,,,1,1,,,1,,,,
21,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,1,,,,1,,,,,1,,,,,,,
22,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,1,,,1,,,,,,,,,1,,,,1,,,,,1,,,,,,,
23,,1,,1,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,1,,,,1,,,,,1,,,,,,,
24,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,
25,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,1,,,,1,,,,,1,,,,,,,
26,1,1,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,1,,,,1,,,,,1,,,1,,,,
27,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,1,,,1,1,,,,,,,,,,,,
28,,1,,,,,1,,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,1,,,,,,,,,1,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,1,,,,1,,,,,1,,,,,,,
30,1,1,,,,,,,1,,,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,1,,1,1,,,,,,,,1,,,1,1,,,,,1,,,,,,,
31,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,1,,,,1,,,,,1,,,,,,,
32,1,,,,1,,1,,,,,1,,,,,1,,1,,,,,,,,,,,,1,1,,,,,,1,1,1,,,,,,,,,1,1,,1,1,,,,1,1,,,1,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,1,,,,,,,,1,,,,,,,
34,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,1,,,,1,,,,,1,,,,,,,
35,,1,,,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,1,,,,1,,,,,1,,,,,,,
36,1,1,,,,,1,,1,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,1,1,,,,,,,,,1,,,,1,,,,1,1,,,,,,,
37,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,1,,1,,,,1,,,,,1,,,,,,,,,1,,,,,,,
38,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,
39,,1,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,1,,,1,1,,,,1,1,,,1,,,,
40,,1,,,1,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,1,1,,,1,,,,,1,,,,,,,
41,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,1,,,,,,,,1,,,,,,,,,1,,,,1,,,,,1,,,,,,,1
42,1,1,,,,1,,,,,,1,,,,,1,,,,,,,,,,,,,,1,1,,,,,,1,1,1,,,,,,,,,1,,,1,,,,,1,1,,,,1,,,
43,1,1,,,1,,1,,,,,1,,,,1,1,,1,,,,,,,,,,,,,1,,,,,,1,1,1,,,,,,,,,1,1,,1,1,,,,1,1,,,1,,,,
44,,1,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,,,1,,1,,,,,,,,,1,,,,1,,,,,1,,,,,,,
45,1,1,,,,,1,,,,,1,,,,,1,1,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,1,,,1,,,1,1,,,,1,1,,,,,,,
46,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,
47,,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,
48,,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,1,,,,1,,,,,1,,,,,,,
49,,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,1,,,,1,,,,,1,,,,,,,
50,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,1,,,,1,,,,,1,,,,,,,1
51,,1,,1,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,
52,1,,,,,,,1,1,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,1,,,1,,,1,1,,,,,,,,,,,,
53,,1,,,,,,,,,,1,,,,1,1,,1,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,1,1,,,1,,,,,1,,,,,,,
54,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,,,,,,,1,,,1,,,,,1,,,,,,,
55,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,1,,,,,,,,,1,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1,1,,,,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,1,,,1,,,1,1,,,,1,1,,,1,,,,
58,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,1,,,,,1,,,,1,,,,,,,,,1,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,1,,,,1,,,,,1,,,,,,,
60,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,1,,,1,,,,,1,,,,1,,,
61,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,
62,,1,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,
63,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,1,,,,1,,,,,1,,,,,,,